

===== No.40 =====
(((33.0, 49.0), '+'), 'South'): 19
(((4.0, 48.0), '+'), 'East'): 12
(((34.0, 43.0), '+'), 'East'): 21
(((2.0, 27.0), '+'), 'South'): 12
(((39.0, 36.0), '+'), 'North'): 21
(((40.0, 21.0), '+'), 'South'): 20
(((19.0, 20.0), '+'), 'West'): 18
(((23.0, 19.0), '+'), 'North'): 17
(((46.0, 40.0), '+'), 'South'): 23
(((39.0, 44.0), '+'), 'South'): 21
(((10.0, 24.0), '+'), 'East'): 14
(((4.0, 17.0), '+'), 'West'): 8
(((0.0, 6.0), '+'), 'North'): 2
(((19.0, 43.0), '+'), 'North'): 18
(((9.0, 5.0), '+'), 'South'): 4
(((15.0, 45.0), '+'), 'South'): 17
(((25.0, 41.0), '+'), 'East'): 19
(((3.0, 29.0), '+'), 'South'): 13
(((25.0, 31.0), '+'), 'East'): 14
(((23.0, 21.0), '+'), 'South'): 17
(((34.0, 23.0), '+'), 'East'): 20
(((49.0, 49.0), '+'), 'West'): 19
(((10.0, 48.0), '+'), 'North'): 13
(((44.0, 7.0), '+'), 'South'): 19
(((2.0, 19.0), '+'), 'West'): 9
(((0.0, 25.0), '+'), 'South'): 13
(((22.0, 34.0), '+'), 'East'): 17
(((35.0, 41.0), '+'), 'North'): 22
(((5.0, 24.0), '+'), 'North'): 13
(((31.0, 43.0), '+'), 'West'): 21
(((20.0, 22.0), '+'), 'East'): 16
(((10.0, 18.0), '+'), 'West'): 4
(((41.0, 9.0), '+'), 'South'): 19
(((18.0, 18.0), '+'), 'North'): 12
(((48.0, 14.0), '+'), 'East'): 19
(((26.0, 35.0), '+'), 'South'): 17
(((27.0, 42.0), '+'), 'West'): 19
(((44.0, 31.0), '+'), 'North'): 21
(((6.0, 8.0), '+'), 'North'): 5
(((48.0, 45.0), '+'), 'South'): 20
(((32.0, 28.0), '+'), 'South'): 16
(((31.0, 35.0), '+'), 'South'): 17
(((10.0, 26.0), '+'), 'North'): 14
(((2.0, 42.0), '+'), 'South'): 13
(((14.0, 15.0), '+'), 'South'): 20
(((21.0, 8.0), '+'), 'West'): 9
(((40.0, 22.0), '+'), 'South'): 20
(((45.0, 13.0), '+'), 'North'): 19
(((4.0, 41.0), '+'), 'West'): 15
(((30.0, 36.0), '+'), 'South'): 16
(((21.0, 31.0), '+'), 'East'): 15
(((37.0, 6.0), '+'), 'East'): 15
(((24.0, 27.0), '+'), 'South'): 15
(((4.0, 2.0), '+'), 'North'): 1
(((23.0, 30.0), '+'), 'North'): 15
(((16.0, 20.0), '+'), 'North'): 16
(((34.0, 9.0), '+'), 'North'): 15
(((29.0, 29.0), '+'), 'North'): 16
(((12.0, 21.0), '+'), 'South'): 16
(((3.0, 41.0), '+'), 'South'): 14
(((16.0, 14.0), '+'), 'East'): 14
(((26.0, 5.0), '+'), 'West'): 10
(((41.0, 33.0), '+'), 'East'): 22
(((13.0, 31.0), '+'), 'West'): 15
(((15.0, 5.0), '+'), 'South'): 7
(((35.0, 16.0), '+'), 'East'): 16
(((6.0, 15.0), '+'), 'East'): 8
(((10.0, 6.0), '+'), 'West'): 4
(((39.0, 38.0), '+'), 'East'): 21
(((2.0, 27.0), '+'), 'West'): 12
(((18.0, 41.0), '+'), 'South'): 18
(((26.0, 36.0), '+'), 'North'): 18
(((48.0, 23.0), '+'), 'East'): 21
(((2.0, 35.0), '+'), 'North'): 12
(((35.0, 35.0), '+'), 'West'): 18
(((46.0, 26.0), '+'), 'North'): 21
(((38.0, 32.0), '+'), 'East'): 21
(((38.0, 24.0), '+'), 'East'): 18
(((32.0, 35.0), '+'), 'North'): 18
(((49.0, 28.0), '+'), 'North'): 20
(((22.0, 16.0), '+'), 'South'): 15
(((6.0, 41.0), '+'), 'South'): 15
(((28.0, 25.0), '+'), 'West'): 16
(((30.0, 24.0), '+'), 'North'): 16
(((18.0, 30.0), '+'), 'West'): 17
(((13.0, 26.0), '+'), 'West'): 14
(((25.0, 42.0), '+'), 'East'): 19
(((26.0, 37.0), '+'), 'North'): 18
(((1.0, 27.0), '+'), 'South'): 13
(((25.0, 28.0), '+'), 'East'): 14
(((22.0, 36.0), '+'), 'South'): 18
(((1.0, 23.0), '+'), 'West'): 11
(((46.0, 8.0), '+'), 'North'): 19
(((24.0, 7.0), '+'), 'East'): 9
(((3.0, 28.0), '+'), 'North'): 12
(((37.0, 7.0), '+'), 'West'): 16
(((34.0, 33.0), '+'), 'South'): 19
(((32.0, 42.0), '+'), 'West'): 21
(((14.0, 21.0), '+'), 'North'): 14
(((15.0, 24.0), '+'), 'South'): 20
(((49.0, 39.0), '+'), 'South'): 22
(((16.0, 23.0), '+'), 'East'): 19
(((18.0, 34.0), '+'), 'South'): 16
(((5.0, 35.0), '+'), 'East'): 14
(((28.0, 0.0), '+'), 'North'): 9
(((9.0, 4.0), '+'), 'East'): 5
(((33.0, 11.0), '+'), 'South'): 15
(((23.0, 39.0), '+'), 'West'): 18
(((22.0, 43.0), '+'), 'East'): 18
(((46.0, 47.0), '+'), 'West'): 21
(((11.0, 28.0), '+'), 'North'): 12
(((3.0, 24.0), '+'), 'South'): 14
(((11.0, 17.0), '+'), 'East'): 9
(((31.0, 1.0), '+'), 'South'): 10
(((22.0, 17.0), '+'), 'North'): 14
(((10.0, 49.0), '+'), 'South'): 13
(((44.0, 30.0), '+'), 'South'): 22
(((4.0, 23.0), '+'), 'East'): 13
(((45.0, 19.0), '+'), 'East'): 22
(((5.0, 7.0), '+'), 'North'): 3
(((48.0, 21.0), '+'), 'North'): 22
(((5.0, 36.0), '+'), 'East'): 14
(((47.0, 44.0), '+'), 'South'): 20
(((30.0, 5.0), '+'), 'North'): 11
(((40.0, 6.0), '+'), 'North'): 19
(((3.0, 40.0), '+'), 'South'): 14
(((20.0, 32.0), '+'), 'South'): 17
(((11.0, 42.0), '+'), 'North'): 14
(((27.0, 41.0), '+'), 'South'): 19
(((44.0, 46.0), '+'), 'South'): 21
(((42.0, 9.0), '+'), 'West'): 19
(((31.0, 15.0), '+'), 'West'): 17
(((48.0, 19.0), '+'), 'West'): 21
(((34.0, 30.0), '+'), 'North'): 18
(((49.0, 42.0), '+'), 'North'): 19
(((22.0, 30.0), '+'), 'South'): 16
(((16.0, 1.0), '+'), 'North'): 4
(((27.0, 46.0), '+'), 'South'): 18
(((39.0, 23.0), '+'), 'North'): 19
(((20.0, 4.0), '+'), 'West'): 9
(((21.0, 27.0), '+'), 'South'): 15
(((35.0, 6.0), '+'), 'West'): 14
(((39.0, 37.0), '+'), 'East'): 21
(((38.0, 1.0), '+'), 'South'): 14
(((12.0, 21.0), '+'), 'North'): 18
(((2.0, 26.0), '+'), 'South'): 13
(((34.0, 10.0), '+'), 'West'): 16
(((5.0, 19.0), '+'), 'West'): 10
(((21.0, 30.0), '+'), 'North'): 16
(((21.0, 21.0), '+'), 'West'): 19
(((10.0, 48.0), '+'), 'West'): 14
(((2.0, 6.0), '+'), 'East'): 4
(((25.0, 43.0), '+'), 'North'): 18
(((10.0, 46.0), '+'), 'West'): 14
(((27.0, 14.0), '+'), 'East'): 16
(((45.0, 20.0), '+'), 'West'): 19
(((31.0, 20.0), '+'), 'West'): 15
(((21.0, 49.0), '+'), 'West'): 18
(((15.0, 40.0), '+'), 'North'): 15
(((2.0, 30.0), '+'), 'West'): 13
(((29.0, 16.0), '+'), 'North'): 16
(((34.0, 12.0), '+'), 'South'): 15
(((18.0, 13.0), '+'), 'West'): 14
(((35.0, 39.0), '+'), 'West'): 21
(((1.0, 35.0), '+'), 'East'): 12
(((21.0, 12.0), '+'), 'South'): 12
(((32.0, 7.0), '+'), 'South'): 11
(((24.0, 43.0), '+'), 'East'): 19
(((21.0, 26.0), '+'), 'South'): 15
(((9.0, 7.0), '+'), 'West'): 4
(((45.0, 4.0), '+'), 'West'): 21
(((44.0, 36.0), '+'), 'East'): 21
(((4.0, 4.0), '+'), 'West'): 3
(((2.0, 41.0), '+'), 'West'): 14
(((17.0, 1.0), '+'), 'East'): 3
(((29.0, 14.0), '+'), 'North'): 16
(((30.0, 25.0), '+'), 'South'): 15
(((23.0, 44.0), '+'), 'South'): 19
(((29.0, 17.0), '+'), 'East'): 16
(((26.0, 41.0), '+'), 'East'): 19
(((36.0, 16.0), '+'), 'East'): 17
(((38.0, 13.0), '+'), 'South'): 18
(((45.0, 39.0), '+'), 'East'): 22
(((29.0, 28.0), '+'), 'South'): 15
(((40.0, 48.0), '+'), 'East'): 20
(((27.0, 41.0), '+'), 'North'): 19
(((46.0, 36.0), '+'), 'East'): 21
(((39.0, 11.0), '+'), 'East'): 18
(((10.0, 5.0), '+'), 'South'): 4
(((21.0, 24.0), '+'), 'East'): 14
(((19.0, 48.0), '+'), 'East'): 17
(((7.0, 18.0), '+'), 'West'): 7
(((2.0, 47.0), '+'), 'West'): 14
(((7.0, 48.0), '+'), 'East'): 14
(((27.0, 23.0), '+'), 'West'): 17
(((19.0, 12.0), '+'), 'West'): 13
(((20.0, 25.0), '+'), 'West'): 16
(((45.0, 17.0), '+'), 'East'): 20
(((7.0, 1.0), '+'), 'South'): 2
(((39.0, 24.0), '+'), 'West'): 18
(((26.0, 7.0), '+'), 'East'): 10
(((17.0, 37.0), '+'), 'West'): 14
(((9.0, 18.0), '+'), 'South'): 5
(((20.0, 26.0), '+'), 'East'): 16
(((2.0, 33.0), '+'), 'West'): 13
(((35.0, 25.0), '+'), 'East'): 19
(((28.0, 24.0), '+'), 'South'): 15
(((33.0, 26.0), '+'), 'West'): 15
(((4.0, 21.0), '+'), 'West'): 10
(((25.0, 36.0), '+'), 'East'): 17
(((40.0, 39.0), '+'), 'South'): 22
(((38.0, 12.0), '+'), 'North'): 18
(((48.0, 12.0), '+'), 'North'): 19
(((20.0, 42.0), '+'), 'East'): 17
(((43.0, 32.0), '+'), 'West'): 22
(((42.0, 15.0), '+'), 'North'): 19
(((31.0, 38.0), '+'), 'West'): 16
(((23.0, 31.0), '+'), 'East'): 15
(((16.0, 16.0), '+'), 'South'): 19
(((17.0, 24.0), '+'), 'South'): 19
(((24.0, 48.0), '+'), 'North'): 19
(((6.0, 13.0), '+'), 'West'): 4
(((44.0, 44.0), '+'), 'West'): 21
(((23.0, 36.0), '+'), 'East'): 17
(((8.0, 46.0), '+'), 'East'): 14
(((20.0, 30.0), '+'), 'West'): 17
(((17.0, 13.0), '+'), 'West'): 15
(((38.0, 15.0), '+'), 'South'): 18
(((14.0, 15.0), '+'), 'East'): 14
(((13.0, 35.0), '+'), 'South'): 14
(((35.0, 15.0), '+'), 'West'): 17
(((44.0, 17.0), '+'), 'West'): 20
(((41.0, 42.0), '+'), 'West'): 22
(((48.0, 24.0), '+'), 'North'): 21
(((45.0, 35.0), '+'), 'North'): 21
(((44.0, 25.0), '+'), 'South'): 21
(((6.0, 33.0), '+'), 'West'): 14
(((34.0, 48.0), '+'), 'West'): 20
(((5.0, 9.0), '+'), 'East'): 4
(((20.0, 27.0), '+'), 'North'): 15
(((3.0, 25.0), '+'), 'East'): 13
(((3.0, 0.0), '+'), 'West'): 1
(((38.0, 31.0), '+'), 'West'): 21
(((23.0, 0.0), '+'), 'North'): 5
(((1.0, 16.0), '+'), 'West'): 5
(((27.0, 34.0), '+'), 'North'): 18
(((22.0, 1.0), '+'), 'South'): 6
(((29.0, 22.0), '+'), 'East'): 14
(((42.0, 33.0), '+'), 'West'): 23
(((28.0, 47.0), '+'), 'West'): 19
(((30.0, 21.0), '+'), 'West'): 15
(((46.0, 29.0), '+'), 'North'): 22
(((20.0, 49.0), '+'), 'West'): 18
(((11.0, 1.0), '+'), 'West'): 3
(((0.0, 25.0), '+'), 'East'): 13
(((6.0, 43.0), '+'), 'South'): 13
(((16.0, 23.0), '+'), 'North'): 19
(((22.0, 49.0), '+'), 'West'): 17
(((45.0, 6.0), '+'), 'North'): 20
(((44.0, 24.0), '+'), 'North'): 21
(((22.0, 23.0), '+'), 'East'): 15
(((34.0, 32.0), '+'), 'South'): 19
(((19.0, 8.0), '+'), 'North'): 10
(((27.0, 2.0), '+'), 'South'): 9
(((26.0, 12.0), '+'), 'East'): 13
(((45.0, 26.0), '+'), 'East'): 21
(((38.0, 46.0), '|'), 'North'): 6
(((6.0, 27.0), '+'), 'East'): 16
(((11.0, 47.0), '+'), 'East'): 15
(((9.0, 6.0), '+'), 'East'): 4
(((46.0, 48.0), '+'), 'West'): 20
(((46.0, 8.0), '+'), 'East'): 19
(((31.0, 41.0), '+'), 'East'): 20
(((19.0, 49.0), '+'), 'South'): 18
(((46.0, 38.0), '+'), 'East'): 23
(((9.0, 37.0), '+'), 'North'): 13
(((33.0, 28.0), '+'), 'East'): 15
(((24.0, 24.0), '+'), 'East'): 15
(((44.0, 27.0), '+'), 'South'): 22
(((3.0, 34.0), '+'), 'South'): 13
(((45.0, 16.0), '+'), 'South'): 20
(((34.0, 44.0), '+'), 'West'): 22
(((9.0, 0.0), '+'), 'West'): 3
(((1.0, 31.0), '+'), 'East'): 13
(((18.0, 14.0), '+'), 'West'): 16
(((29.0, 30.0), '+'), 'East'): 16
(((41.0, 39.0), '+'), 'East'): 21
(((24.0, 25.0), '+'), 'West'): 16
(((19.0, 22.0), '+'), 'East'): 16
(((6.0, 26.0), '+'), 'North'): 15
(((45.0, 36.0), '+'), 'South'): 20
(((47.0, 48.0), '+'), 'South'): 20
(((6.0, 15.0), '+'), 'North'): 6
(((35.0, 16.0), '+'), 'North'): 17
(((2.0, 37.0), '+'), 'South'): 12
(((49.0, 46.0), '+'), 'North'): 20
(((19.0, 3.0), '+'), 'South'): 8
(((41.0, 26.0), '+'), 'West'): 21
(((28.0, 11.0), '+'), 'East'): 14
(((11.0, 25.0), '+'), 'West'): 15
(((2.0, 31.0), '+'), 'South'): 13
(((4.0, 26.0), '+'), 'North'): 13
(((4.0, 18.0), '+'), 'West'): 9
(((23.0, 4.0), '+'), 'West'): 11
(((40.0, 36.0), '+'), 'South'): 22
(((6.0, 30.0), '+'), 'North'): 14
(((44.0, 33.0), '+'), 'East'): 20
(((49.0, 18.0), '+'), 'North'): 21
(((13.0, 38.0), '+'), 'East'): 15
(((16.0, 31.0), '+'), 'South'): 16
(((27.0, 0.0), '+'), 'East'): 9
(((37.0, 43.0), '+'), 'East'): 21
(((43.0, 45.0), '+'), 'South'): 20
(((15.0, 45.0), '+'), 'North'): 17
(((12.0, 40.0), '+'), 'West'): 15
(((46.0, 16.0), '+'), 'North'): 20
(((42.0, 12.0), '+'), 'West'): 18
(((9.0, 6.0), '+'), 'West'): 4
(((30.0, 47.0), '+'), 'North'): 19
(((12.0, 4.0), '+'), 'North'): 6
(((40.0, 23.0), '+'), 'South'): 20
(((1.0, 40.0), '+'), 'West'): 13
(((14.0, 30.0), '+'), 'West'): 15
(((14.0, 26.0), '+'), 'North'): 12
(((15.0, 26.0), '+'), 'West'): 15
(((41.0, 21.0), '+'), 'North'): 20
(((22.0, 31.0), '+'), 'West'): 16
(((6.0, 43.0), '+'), 'East'): 14
(((41.0, 10.0), '+'), 'East'): 18
(((11.0, 43.0), '+'), 'West'): 14
(((28.0, 15.0), '+'), 'South'): 16
(((6.0, 6.0), '+'), 'East'): 3
(((11.0, 31.0), '+'), 'West'): 13
(((11.0, 13.0), '+'), 'South'): 16
(((7.0, 14.0), '+'), 'North'): 4
(((39.0, 29.0), '+'), 'South'): 21
(((38.0, 48.0), '+'), 'West'): 22
(((29.0, 15.0), '+'), 'West'): 17
(((3.0, 18.0), '+'), 'West'): 9
(((45.0, 12.0), '+'), 'South'): 19
(((4.0, 11.0), '+'), 'North'): 3
(((39.0, 37.0), '+'), 'South'): 21
(((45.0, 18.0), '+'), 'North'): 20
(((25.0, 39.0), '+'), 'North'): 19
(((49.0, 8.0), '+'), 'West'): 20
(((41.0, 15.0), '+'), 'South'): 18
(((15.0, 46.0), '+'), 'North'): 17
(((40.0, 23.0), '+'), 'West'): 19
(((14.0, 37.0), '+'), 'South'): 16
(((13.0, 32.0), '+'), 'East'): 13
(((42.0, 39.0), '+'), 'East'): 22
(((0.0, 8.0), '+'), 'North'): 2
(((0.0, 33.0), '+'), 'South'): 13
(((38.0, 43.0), '+'), 'West'): 21
(((11.0, 9.0), '+'), 'East'): 2
(((10.0, 24.0), '+'), 'North'): 15
(((7.0, 26.0), '+'), 'North'): 16
(((46.0, 4.0), '+'), 'West'): 20
(((26.0, 30.0), '+'), 'West'): 15
(((3.0, 7.0), '+'), 'West'): 3
(((4.0, 21.0), '+'), 'North'): 10
(((42.0, 39.0), '+'), 'South'): 23
(((41.0, 33.0), '+'), 'South'): 22
(((25.0, 26.0), '+'), 'South'): 15
(((33.0, 14.0), '+'), 'North'): 17
(((40.0, 33.0), '+'), 'North'): 22
(((30.0, 20.0), '+'), 'East'): 15
(((14.0, 8.0), '+'), 'South'): 6
(((40.0, 16.0), '+'), 'South'): 19
(((30.0, 19.0), '+'), 'North'): 15
(((4.0, 7.0), '+'), 'East'): 3
(((3.0, 4.0), '+'), 'East'): 2
(((10.0, 42.0), '+'), 'East'): 14
(((4.0, 48.0), '+'), 'South'): 11
(((23.0, 34.0), '+'), 'West'): 18
(((19.0, 44.0), '+'), 'East'): 17
(((30.0, 32.0), '+'), 'North'): 17
(((40.0, 49.0), '+'), 'South'): 20
(((46.0, 16.0), '+'), 'East'): 21
(((16.0, 41.0), '+'), 'West'): 16
(((23.0, 20.0), '+'), 'North'): 17
(((46.0, 11.0), '+'), 'South'): 19
(((45.0, 16.0), '+'), 'North'): 20
(((1.0, 14.0), '+'), 'South'): 5
(((12.0, 26.0), '+'), 'West'): 15
(((8.0, 15.0), '+'), 'North'): 5
(((41.0, 7.0), '+'), 'West'): 20
(((14.0, 33.0), '+'), 'East'): 12
(((22.0, 0.0), '+'), 'North'): 6
(((43.0, 11.0), '+'), 'East'): 18
(((19.0, 10.0), '+'), 'East'): 10
(((22.0, 2.0), '+'), 'West'): 7
(((29.0, 14.0), '+'), 'West'): 17
(((32.0, 18.0), '+'), 'West'): 17
(((28.0, 30.0), '+'), 'East'): 15
(((16.0, 17.0), '+'), 'North'): 15
(((28.0, 11.0), '+'), 'North'): 14
(((33.0, 10.0), '+'), 'South'): 16
(((32.0, 0.0), '+'), 'East'): 10
(((28.0, 42.0), '+'), 'North'): 20
(((16.0, 43.0), '+'), 'South'): 17
(((5.0, 21.0), '+'), 'West'): 10
(((3.0, 26.0), '+'), 'East'): 13
(((42.0, 5.0), '+'), 'East'): 19
(((47.0, 42.0), '+'), 'South'): 20
(((2.0, 41.0), '+'), 'East'): 14
(((27.0, 30.0), '+'), 'West'): 15
(((15.0, 13.0), '+'), 'West'): 14
(((30.0, 7.0), '+'), 'North'): 12
(((12.0, 35.0), '+'), 'North'): 15
(((6.0, 27.0), '+'), 'North'): 15
(((21.0, 8.0), '+'), 'North'): 8
(((48.0, 26.0), '+'), 'East'): 20
(((32.0, 41.0), '+'), 'West'): 21
(((30.0, 45.0), '+'), 'North'): 19
(((45.0, 39.0), '+'), 'West'): 23
(((27.0, 31.0), '+'), 'West'): 16
(((3.0, 6.0), '+'), 'West'): 3
(((16.0, 48.0), '+'), 'South'): 18
(((36.0, 32.0), '+'), 'West'): 19
(((30.0, 13.0), '+'), 'North'): 16
(((45.0, 4.0), '+'), 'South'): 20
(((35.0, 30.0), '+'), 'North'): 20
(((0.0, 5.0), '+'), 'North'): 1
(((24.0, 30.0), '+'), 'East'): 14
(((15.0, 41.0), '+'), 'South'): 15
(((32.0, 14.0), '+'), 'East'): 16
(((23.0, 41.0), '+'), 'West'): 19
(((28.0, 23.0), '+'), 'West'): 16
(((5.0, 26.0), '+'), 'West'): 15
(((22.0, 5.0), '+'), 'South'): 8
(((26.0, 38.0), '+'), 'West'): 19
(((8.0, 15.0), '+'), 'West'): 5
(((15.0, 4.0), '+'), 'South'): 7
(((1.0, 26.0), '+'), 'North'): 12
(((0.0, 20.0), '+'), 'North'): 9
(((44.0, 20.0), '+'), 'West'): 18
(((46.0, 17.0), '+'), 'East'): 21
(((23.0, 33.0), '+'), 'West'): 18
(((36.0, 43.0), '+'), 'West'): 21
(((24.0, 30.0), '+'), 'South'): 15
(((12.0, 14.0), '+'), 'East'): 4
(((21.0, 12.0), '+'), 'West'): 14
(((32.0, 43.0), '+'), 'South'): 21
(((41.0, 29.0), '+'), 'North'): 21
(((33.0, 13.0), '+'), 'North'): 17
(((2.0, 13.0), '+'), 'North'): 5
(((41.0, 6.0), '+'), 'West'): 19
(((39.0, 5.0), '+'), 'West'): 15
(((37.0, 7.0), '+'), 'North'): 17
(((16.0, 46.0), '+'), 'North'): 19
(((33.0, 31.0), '+'), 'North'): 18
(((47.0, 7.0), '+'), 'North'): 18
(((39.0, 22.0), '+'), 'North'): 20
(((43.0, 7.0), '+'), 'South'): 19
(((4.0, 44.0), '+'), 'East'): 14
(((7.0, 16.0), '+'), 'West'): 6
(((28.0, 43.0), '+'), 'South'): 19
(((11.0, 27.0), '+'), 'South'): 14
(((13.0, 5.0), '+'), 'South'): 5
(((46.0, 43.0), '+'), 'West'): 21
(((27.0, 20.0), '+'), 'East'): 14
(((32.0, 1.0), '+'), 'West'): 11
(((33.0, 35.0), '+'), 'East'): 17
(((12.0, 1.0), '+'), 'West'): 2
(((45.0, 44.0), '+'), 'West'): 21
(((19.0, 3.0), '+'), 'North'): 9
(((22.0, 15.0), '+'), 'West'): 13
(((23.0, 47.0), '+'), 'East'): 18
(((43.0, 24.0), '+'), 'East'): 21
(((37.0, 9.0), '+'), 'East'): 16
(((1.0, 20.0), '+'), 'North'): 10
(((46.0, 30.0), '+'), 'North'): 21
(((18.0, 35.0), '+'), 'South'): 17
(((34.0, 15.0), '+'), 'East'): 15
(((7.0, 49.0), '+'), 'West'): 12
(((41.0, 20.0), '+'), 'South'): 18
(((12.0, 32.0), '+'), 'East'): 13
(((29.0, 15.0), '+'), 'North'): 16
(((25.0, 29.0), '+'), 'North'): 14
(((45.0, 28.0), '+'), 'East'): 21
(((42.0, 49.0), '+'), 'East'): 21
(((30.0, 44.0), '+'), 'West'): 19
(((34.0, 45.0), '+'), 'West'): 21
(((16.0, 37.0), '+'), 'East'): 14
(((43.0, 44.0), '+'), 'West'): 21
(((45.0, 21.0), '+'), 'South'): 19
(((30.0, 36.0), '+'), 'East'): 17
(((45.0, 24.0), '+'), 'West'): 21
(((15.0, 44.0), '+'), 'South'): 17
(((28.0, 25.0), '+'), 'South'): 15
(((26.0, 49.0), '+'), 'South'): 17
(((14.0, 38.0), '+'), 'North'): 15
(((3.0, 6.0), '+'), 'North'): 4
(((34.0, 15.0), '+'), 'North'): 16
(((10.0, 27.0), '+'), 'North'): 14
(((43.0, 3.0), '+'), 'North'): 19
(((2.0, 7.0), '+'), 'South'): 2
(((13.0, 7.0), '+'), 'North'): 8
(((48.0, 24.0), '+'), 'West'): 21
(((8.0, 1.0), '+'), 'West'): 2
(((45.0, 26.0), '+'), 'West'): 21
(((1.0, 39.0), '+'), 'West'): 13
(((39.0, 7.0), '+'), 'North'): 17
(((2.0, 15.0), '+'), 'South'): 6
(((24.0, 46.0), '+'), 'South'): 18
(((19.0, 46.0), '+'), 'West'): 18
(((25.0, 30.0), '+'), 'South'): 15
(((49.0, 22.0), '+'), 'North'): 21
(((38.0, 3.0), '+'), 'South'): 15
(((6.0, 13.0), '+'), 'East'): 6
(((8.0, 47.0), '+'), 'East'): 14
(((19.0, 37.0), '+'), 'East'): 17
(((44.0, 36.0), '+'), 'North'): 21
(((2.0, 1.0), '+'), 'East'): 1
(((27.0, 48.0), '+'), 'South'): 18
(((3.0, 41.0), '+'), 'West'): 14
(((5.0, 21.0), '+'), 'East'): 12
(((45.0, 29.0), '+'), 'East'): 22
(((29.0, 49.0), '+'), 'West'): 17
(((12.0, 44.0), '+'), 'South'): 14
(((46.0, 47.0), '+'), 'South'): 20
(((20.0, 21.0), '+'), 'West'): 19
(((15.0, 39.0), '+'), 'East'): 15
(((12.0, 10.0), '+'), 'East'): 4
(((24.0, 37.0), '+'), 'South'): 18
(((15.0, 5.0), '+'), 'East'): 6
(((26.0, 48.0), '+'), 'North'): 18
(((37.0, 27.0), '+'), 'North'): 21
(((41.0, 48.0), '+'), 'East'): 20
(((29.0, 45.0), '+'), 'West'): 20
(((3.0, 33.0), '+'), 'North'): 13
(((49.0, 19.0), '+'), 'West'): 22
(((44.0, 5.0), '+'), 'West'): 20
(((34.0, 28.0), '+'), 'West'): 15
(((18.0, 27.0), '+'), 'North'): 18
(((30.0, 22.0), '+'), 'South'): 14
(((13.0, 7.0), '+'), 'West'): 7
(((22.0, 6.0), '+'), 'South'): 7
(((27.0, 42.0), '+'), 'South'): 19
(((3.0, 14.0), '+'), 'West'): 4
(((31.0, 24.0), '+'), 'West'): 17
(((8.0, 21.0), '+'), 'North'): 13
(((4.0, 47.0), '+'), 'East'): 13
(((32.0, 37.0), '+'), 'South'): 17
(((27.0, 5.0), '+'), 'West'): 10
(((48.0, 32.0), '+'), 'West'): 21
(((49.0, 21.0), '+'), 'West'): 22
(((2.0, 11.0), '+'), 'North'): 4
(((2.0, 45.0), '+'), 'West'): 13
(((14.0, 16.0), '+'), 'South'): 18
(((34.0, 39.0), '+'), 'North'): 22
(((41.0, 28.0), '+'), 'West'): 22
(((23.0, 16.0), '+'), 'West'): 15
(((45.0, 23.0), '+'), 'West'): 21
(((7.0, 15.0), '+'), 'West'): 5
(((32.0, 19.0), '+'), 'North'): 16
(((49.0, 45.0), '+'), 'North'): 20
(((41.0, 34.0), '+'), 'West'): 22
(((32.0, 5.0), '+'), 'East'): 12
(((44.0, 32.0), '+'), 'South'): 22
(((7.0, 36.0), '+'), 'North'): 15
(((45.0, 45.0), '+'), 'West'): 21
(((24.0, 4.0), '+'), 'South'): 10
(((36.0, 4.0), '+'), 'South'): 14
(((29.0, 13.0), '+'), 'South'): 16
(((19.0, 35.0), '+'), 'West'): 16
(((34.0, 37.0), '+'), 'East'): 17
(((20.0, 11.0), '+'), 'East'): 10
(((30.0, 11.0), '+'), 'East'): 15
(((28.0, 46.0), '+'), 'East'): 19
(((38.0, 48.0), '+'), 'East'): 30
(((49.0, 20.0), '+'), 'North'): 22
(((20.0, 46.0), '+'), 'North'): 17
(((8.0, 36.0), '+'), 'East'): 14
(((41.0, 5.0), '+'), 'East'): 19
(((37.0, 22.0), '+'), 'West'): 20
(((30.0, 35.0), '+'), 'North'): 17
(((30.0, 10.0), '+'), 'West'): 16
(((6.0, 45.0), '+'), 'West'): 16
(((46.0, 18.0), '+'), 'South'): 22
(((24.0, 36.0), '+'), 'East'): 18
(((47.0, 19.0), '+'), 'North'): 21
(((14.0, 27.0), '+'), 'South'): 18
(((19.0, 10.0), '+'), 'South'): 10
(((22.0, 0.0), '+'), 'East'): 5
(((8.0, 11.0), '+'), 'East'): 6
(((14.0, 6.0), '+'), 'East'): 5
(((30.0, 16.0), '+'), 'North'): 16
(((2.0, 25.0), '+'), 'East'): 13
(((47.0, 11.0), '+'), 'West'): 19
(((48.0, 48.0), '+'), 'South'): 20
(((24.0, 42.0), '+'), 'East'): 19
(((45.0, 47.0), '+'), 'West'): 22
(((13.0, 45.0), '+'), 'East'): 15
(((6.0, 21.0), '+'), 'North'): 12
(((45.0, 45.0), '+'), 'North'): 21
(((21.0, 4.0), '+'), 'East'): 8
(((34.0, 1.0), '+'), 'West'): 10
(((31.0, 1.0), '+'), 'North'): 11
(((5.0, 40.0), '+'), 'North'): 15
(((35.0, 31.0), '+'), 'South'): 19
(((16.0, 26.0), '+'), 'West'): 17
(((3.0, 4.0), '+'), 'North'): 3
(((41.0, 32.0), '+'), 'West'): 22
(((19.0, 38.0), '+'), 'East'): 19
(((43.0, 33.0), '+'), 'East'): 21
(((39.0, 21.0), '+'), 'North'): 19
